Fri, 22 Jul 2022 17:40:01-root-tcpservser.py-[line:31]-DEBUG-[日志信息]: recv data is empty.
Fri, 22 Jul 2022 17:50:17-root-tcpservser.py-[line:31]-DEBUG-[日志信息]: recv data is empty.
Fri, 22 Jul 2022 17:51:23-root-tcpservser.py-[line:31]-DEBUG-[日志信息]: recv data is empty.
Fri, 22 Jul 2022 18:03:43-root-tcpservser.py-[line:31]-DEBUG-[日志信息]: recv data is empty.
Fri, 22 Jul 2022 18:03:52-root-tcpservser.py-[line:31]-DEBUG-[日志信息]: recv data is empty, the remoter has been closed.
Fri, 22 Jul 2022 18:04:16-root-tcpservser.py-[line:27]-DEBUG-[日志信息]: [WinError 10054] 远程主机强迫关闭了一个现有的连接。
Fri, 22 Jul 2022 18:05:53-root-tcpservser.py-[line:27]-DEBUG-[日志信息]: [WinError 10054] 远程主机强迫关闭了一个现有的连接。
Fri, 22 Jul 2022 18:09:18-root-tcpservser.py-[line:31]-DEBUG-[日志信息]: recv data is empty, the remoter has been closed.
Fri, 22 Jul 2022 18:10:01-root-tcpservser.py-[line:31]-DEBUG-[日志信息]: recv data is empty, the remoter has been closed.
Fri, 22 Jul 2022 18:10:08-root-tcpservser.py-[line:31]-DEBUG-[日志信息]: recv data is empty, the remoter has been closed.
Fri, 22 Jul 2022 18:11:16-root-tcpservser.py-[line:31]-DEBUG-[日志信息]: recv data is empty, the remoter has been closed.
Fri, 22 Jul 2022 18:11:30-root-tcpservser.py-[line:31]-DEBUG-[日志信息]: recv data is empty, the remoter has been closed.
Fri, 22 Jul 2022 18:12:29-root-tcpservser.py-[line:31]-DEBUG-[日志信息]: recv data is empty, the remoter has been closed.
Fri, 22 Jul 2022 18:48:56-root-tcpservser.py-[line:31]-DEBUG-[日志信息]: recv data is empty, the remoter has been closed.
Fri, 22 Jul 2022 18:49:22-root-tcpservser.py-[line:31]-DEBUG-[日志信息]: recv data is empty, the remoter has been closed.
Fri, 22 Jul 2022 18:51:03-root-tcpservser.py-[line:31]-DEBUG-[日志信息]: recv data is empty, the remoter has been closed.
Fri, 22 Jul 2022 18:57:33-root-MessageQueue.py-[line:60]-DEBUG-[日志信息]: there are no request data, queue is empty.
Fri, 22 Jul 2022 18:57:33-root-tcpservser.py-[line:105]-INFO-[日志信息]: (None, None)
